From,To,length,well,inverse_rho_Ca,Al2O3,Au,CaO,Cr,Cr2O3,Cu,Fe2O3,FeO,GR,IPlin161,IPlin1610,IPlin641,IPlin6410,K,K2O,Litho,MagSusc,Mg,MgO,MnO,N16,N32,N64,N8,Na2O,Ni,P2O5,rho_ND,S,SP,Th,TiO2,U,Vp,Vs,Sc,SPR,caliper,Co,Ba,SiO2
230.81,233.81,3,1,Inverse relationship,0.547711,0.006,0.407973,-0.120788,2.14563,2.96139,0.873832,0.188998,1.22515,71.2258,16.0123,130.398,40.6493,0.00923,-0.07188,M1Cb3,0.48505,291.348,0.171049,0.532172,3533.18,4638,5786.78,2157.55,3.54326,0.363929,436.633,2.8355,2.7893,-133.63,0.142515,-0.618406,0.0615763,6505.82,                              ,,975.576,5.35093,,,
233.81,236.81,3,1,Direct relationship,1.54856,0,1.71257,1.30395,7.24304,3.68164,3.24356,1.69266,0.95723,70.8602,16.0215,128.048,39.5538,0.00868,1.41312,M1Cb3,0.482308,903.887,2.62468,2.36832,3432.36,4466.01,5459.96,2113.76,4.90624,3.96125,619.643,2.8394,1.81491,-80.3,0.117058,-0.173212,0.0169009,6527.22,3664.45,,966.256,5.35168,,,
236.81,239.81,3,1,Inverse relationship,0.536247,0.0025,0.992514,0.299972,3.65102,1.79598,1.40271,0.524587,1.13247,67.4035,13.6021,123.63,36.8358,0.01129,0.34062,M1Cb3,0.453566,439.561,0.764742,1.01554,3331.27,4166.56,4630.76,2080.19,1.98295,1.44467,688.604,2.8011,4.47344,-50.82,0.118973,-0.540673,0.0408622,6345.64,3713.33,,962.726,5.35614,,,
239.81,242.81,3,1,Inverse relationship,1.57952,0.0055,1.22612,0.51711,4.4279,2.42763,2.27931,1.08081,0.999772,67.4808,13.6917,123.35,37.4329,0.00987,0.72365,M1Cb3,0.449578,504.327,1.02417,1.62951,3493.64,4552.67,5437.8,2141.51,8.39629,1.34504,663.975,2.7959,6.03728,-110.07,0.099682,-0.173212,0.0226631,6338.51,                              ,,972.095,5.36143,,,
242.81,245.81,3,1,Inverse relationship,0.774709,0.003,0.929303,-0.0280208,2.47753,1.80898,1.23637,0.419039,1.09774,67.8104,13.4027,124.292,36.3365,0.0146,0.20656,M1Cb3,0.433719,344.502,0.383968,0.831766,3390.99,4398.89,5733.35,2094.52,5.24182,0.622113,464.482,2.8109,1.11118,-99.48,0.142192,-0.586606,0.0871397,6405.54,                              ,,962.351,5.30471,,,
78,79.5,1.5,3,,-0.676965,0.022,-0.606148,-0.869849,-0.534347,-0.459811,-0.621821,-0.760035,2.20418,66.4177,15.183,125.795,50.5996,0.025183,10.1375,M1Cb1,0.560153,37.3723,-0.846293,2626.53,2830.43,2707.77,1959.34,2154.73,0.125489,-0.83739,731.041,                              ,,453.8,0.281226,-0.783763,0.113773,                              ,                              ,-0.801463,1347.85,6.28859,-0.826437,11.2059,
126,127.5,1.5,3,,-0.450868,0.009,-0.719115,-0.969492,-0.89085,-0.404876,-0.583363,-0.735632,12.7182,61.4723,15.1922,107.581,41.6015,0.333102,15.3601,M1CC1,0.606109,21.42,-0.910193,1493.06,3314.75,3167.59,1858.59,2441.6,0.626718,-0.96344,349.646,2.6159,,459.3,0.769713,-0.495519,0.295341,5492.89,3226.97,-0.671909,1405.9,6.10329,-0.872524,18.7753,
129,130.5,1.5,3,,-0.562956,0.307,-0.603068,-0.980715,-0.931001,-0.331194,-0.698473,-0.808673,13.4582,70.2862,15.8434,128.227,44.16,0.210964,21.4075,M1Tc1,0.438298,14.0893,-0.939557,2379.82,2579.09,2459.33,1918.13,2021.3,-0.223368,-0.981511,220.658,2.599,,453.5,0.896769,-0.775586,0.305703,5383.06,3237.26,-0.723466,1292.21,6.11205,-0.919417,17.0012,
216,217.5,1.5,3,,-0.755164,0.005,-0.476659,-0.800174,-0.285065,-0.504063,-0.560808,-0.721321,0.582185,80.8538,21.0562,142.315,46.0992,0.00574339,                           ,M1CC2,0.710304,63.6946,-0.740855,3850.87,4108.25,4601.91,3802.23,2781.88,-0.931746,-0.550307,60.363,2.6192,,399.84,0.0599651,-0.761773,0.0308983,5509.68,2777.58,-0.781273,1432.85,6.68335,-0.71318,                          ,
220.5,222,1.5,3,,-0.789266,0,0.02013,-0.827631,-0.3833,-0.504063,-0.634737,-0.768231,17.1359,75.3602,19.596,137.182,41.8538,0.650163,13.3151,M1CC2,0.808976,36.3667,-0.850322,5555.03,3968.83,4345.25,3233.13,2703.69,-0.704233,-0.564931,86.6615,2.6388,,419.36,0.62055,-0.7898,0.214689,5611.73,3229.3,-0.781273,1410.04,6.695,-0.745048,11.6562,
225,226.2,1.2,3,,-0.745546,0.0025,-0.406787,-0.798648,-0.279607,-0.603251,-0.564567,-0.723706,18.9451,70.5542,16.6636,135.827,40.5801,0.419381,                           ,M1CC2,34.3581,60.3483,-0.754259,3850.87,2382.3,2092.02,1398.61,1939.53,-0.931746,-0.564931,86.6615,2.5667,,503.905,0.780826,-0.74776,0.507418,5185.32,2617.4,-0.781273,1214.71,6.65243,-0.745048,                          ,
118.65,119.15,0.5,4,,0.712333,10,1.61799,1.08281,-0.924463,-0.331194,2.06196,0.94343,10.4743,95.1849,46.0098,106.537,50.6979,0.41712,92.0081,M1CbFu1,0.353183,548.983,1.20294,0.98103,3214.63,5608.75,8150.4,1844.09,6.53956,1.57307,                            ,2.8092,5.03195,-67.62,3.4527,0.48694,1.46353,6396.03,3802.34,0.382668,735.898,,0.799685,49.0032,
123.15,123.65,0.5,4,,0.0375414,0.175,3.51008,0.183821,-0.961021,5.03211,0.515498,-0.0383373,11.2929,101.133,27.875,119.3,37.5777,0.70053,42.1469,M1CbFu2,0.494631,136.188,-0.450924,1.54369,937.678,889.054,844.131,779.004,4.82155,0.179749,520.181,2.7999,31.4797,721.5,5.85892,-0.0849602,2.84991,6357.54,3655.74,-0.255486,494.664,,-0.103257,79.4154,0.723839
124.65,125.65,1,4,Direct relationship,0.0397446,1.72,3.47127,-0.0792504,2.29424,2.1511,0.615078,0.0248112,16.8476,100.083,31.5817,126.158,35.4284,0.961196,82.5309,M1CbFu3,0.756242,105.562,-0.57315,2.39036,1856.26,2207.97,1620.02,1283.7,3.23349,0.36061,4096.84,2.7338,16.8639,553.62,6.49727,-0.491207,2.60806,6073.01,3500.65,-0.00731514,620.856,,-0.132184,131.829,-0.15422
418.77,420.4,1.63,2,,-0.116085,0.077,1.20963,,1.42569,1.5749,0.377556,-0.125903,4.2362,75.2555,28.5247,93.7194,37.3001,0.148531,0.608744,M1Cb,0.45117,,-0.0641743,0.493868,3361.19,4184.03,3597.9,2337.86,-0.68679,,688.604,2.589,3.22237,177.649,1.58074,-0.669285,0.664942,5334.32,3197.39,,1173.31,,,,                            
420.4,423.3,2.9,2,Direct relationship,0.923584,0.252,4.41807,,4.3359,2.92923,1.90438,0.842908,0.933322,77.8993,30.3403,95.3844,32.6748,0.056671,4.17096,M1Cb,0.388005,,0.892364,2.64575,4059.6,5291.63,4529.17,2680.01,-0.808239,,590.089,2.6235,8.04793,154.339,0.628925,-0.409437,0.245228,5515.32,3225.35,,1237.68,,,,                            
